file,matched_item_id,score
"SALSA BBQ 4KG.png",1222,0.66666666666667
"SALSA CATSUP LTO.png",1223,0.66666666666667
"SALSA HUICHOL GA.png",1231,0.66666666666667
"SALSA INGLESA.png",1233,0.66666666666667
"TAPA 17 BOSCO TAPA 2 OZ.png",1269,0.66666666666667
"TAPA D 1LT TERMICA.png",1270,0.6
"TAPA VASO 1_2LTO TERMICO.png",1271,0.6
"TOMATE PELADO.png",460,0.66666666666667
"TOSTADA CHARRA.png",1305,0.66666666666667
"TOTOPO TOTOFAST.png",1311,0.66666666666667
"Tomate milpero.png",460,0.66666666666667
"V8 JUGO.png",891,0.66666666666667
"ZANAHORIA LEÑA.png",1359,0.66666666666667
"Zanahoria mediana.png",1362,0.66666666666667
